question_id,Inferred Stim Info [or notes],New Notes,Judgment Value ,Original Stim Info
17,,,1,"Describe a person that you know well.  What does he or she look like?  Write one paragraph, between 7 and 12 sentences.  You can use some of the words on page 71 of ""Refining Composition Skills."""
21,,"Despite stim, seems all wrote about Stonehenge",1,"Write about 1 of the following:  either...
Ex. 9 p. 101 (write 1 paragraph, at least 8 sentences)
OR  Ex. 7 p. 100. (write at least 3 sentences each on #2, 3 4)
Use different modals in your writing.
If you submit the asst. by 8:00 pm 9/24, I will return it to you on Monday in class."
62,,,1,"Re-write your first draft of the paragraph about Decasia, Illinois.  Make the changes suggested in red ink on your first draft."
95,,,3,"Write a paragraph about an important decision you have made.  How would your life have been different if you had made a different decision?  What different consequences would have resulted?  How would your life be different today?

(Sorry for the delayed posting!)"
107,,,1,The article on 'Webaholism' (pp. 73-75) stated that some schools are limiting students' time on-line in their computer labs.  Is this a reasonable policy?  Explain why or why not.  Write one paragraph to explain your answer. You must have a topic sentence for this paragraph.
111,,,1,"p. 434 Ex. 11:  Describe an older person who has influenced you.  Be sure to use the 3 types of conditionals in this unit:  a) implied conditionals b) inverted conditionals and c) subjunctive.  Try to use (at least) 2 of each type.

If you submit by Thursday, Oct 19 at 8:00 pm, I will return to you in class on Friday morning."
112,,,3,Write a paragraph about a time when you had fun in the past.  Use at least 3 identifying and 3 non-identifying clauses.  Use subject and object clauses.
114,,,3,"Re-write your introdctory paragraph about education and natural resources.  Edit and change it, using Greg's red marks and comments as a guide."
132,,,1,Read the essay about Cajun cuisine that you got in class.  Write a good concluding paragraph for this essay.  Write 3-5 sentences in your paragraph.
136,,,1,"Ex. 9 p. 126  Describe the worst eating experience you have ever had.  (or you can describe the best experience!)

If you submit your paragraph by 7:00 pm on Sunday 10/29, I will grade it & return it to you in class on Monday morning."
142,,,2,Describe an environmental problem in your country.  See p. 140 Ex. 8 for suggested topics.
152,,"Multiple topics, all 3 responses have somewhat different topics",3,"Write a paragraph based on one of the topics in Ex. 9 p. 152.  Use at least 5 different quantifiers in your paragraph.  

Please type your email (your preferred email) at the end of your paragraph.  I will email you comments on your paragraph to help you prepare for the test."
154,,,1,"Look at the cartoon about the chess and checkers players (you got it in class).  Write a paragraph (5-8 sentences) about this cartoon.  Describe it for someone who has not seen it.  Also, interpret it in your own words: what do you think it means?  Use one of these cause-type phrases in your paragraph and underline it: because of, as a result, consequently, so, therefore."
278,,"Multiple topics, 8 responses appear to use different ones",3,"Choose one of the following topic sentences:
1.  Mastering a musical instrument can take more than a decade of practice.
2.  Job status is not the only indicator of success.
3.  Optimism sometimes leads to failure.
4.  Effective time management is the key to keeping up with college classes.
5.  Putting your first draft on the computer can save you considerable time when revising."
293,,,2,What do you think your strengths and weaknesses are as a writer in English?
302,,,2,"Write one paragraph of 5 to 8 sentences that describes an event that you witnessed:  an accident, a crime, a reunion, a wedding, or some other event.  Use the PAST PROGRESSIVE and the SIMPLE PAST to describe what was happening and what happened during the event.

Do NOT use the same verbs in all the sentences.  Use as many DIFFERENT verbs as you can. Use action and non-action verbs.

Example:  While I was going to lunch today, I saw a wedding party.  People were waiting for the bride and groom outside a temple.  When they saw the couple, they......"
304,,,1,"Write the second draft of the Final Writing Assignment from Unit 1, page 23 of your textbook.

Proofread and revise your first draft.
Use the information from your peer review to help you to revise your work.
You should have two paragraphs for this assignment. 

Check to be sure that your topic sentences are clear and that all information in your paragraphs supports the topic sentences.

Check carefully for errors in punctuation and grammar.

Be sure that you have used cohesion devices and that you have used a variety of sentence types in your writing.

Refer to the ""Grammar and Language Reference"" in your textbook for review of sentence types and noun phrases if you need assistance with these areas."
312,,,2,"Revise/edit and correct your final assignment: see my corrections and comments on your first draft.

Note that your paragraph MUST be typed in Word and printed out BEFORE submitting into the homework program. Copy, cut & paste only the actual paragraph, not the heading."
317,,,1,"Write two paragraphs.  Contrast your life in the past and your life now.  In the first paragraph, describe how your life used to be at some time in the past.  In the Second paragraph, describe your life today.  Write four to five (4-5) sentences for each paragraph.(Total=8-10 sentences).

Example:  
PARAGRAPH 1--I used to live in Russia.  I attended St. Petersburg University.  In those days I used to......

PARAGRAPH 2--Today, I am living in Pittsburgh and attending the University of Pittsburgh..."
318,,,3,1
319,,,1,"In what ways do world events (for example, economic cycles, international meetings, political unrest, or terrorist attacks) affect tourism?  Are there predictions made in this article that you believe no longer hold true because of recent world events?"
320,,,1,"""Good luck has nothing to do with success.""  Do you agree or disagree with this statement?  Explain your answer."
349,,1 of the 9 responses is not about sleep,1,"First, choose one of the ideas you wrote down from the free-writing activity we did in class.  Next, write a topic sentence.  Finally, based on that topic sentence you should write one or two well-developed paragraphs.  Submit your paragraph via the Online Homework Submission System."
