3Langs,Item,answer_id,anon_id,L1,gender,course_id,level_id,class_id,question_id,version,text1_len,text2_len,text3_len,text1,"text2 (line breaks/extra spaces removed, spaces added to reach 60)",text3 (edits made to fix word counts),Judgement,Notes
Y,C12,141,aj8,Chinese,Male,118,5,w,17,1,121,114,114,"


 Today, I am going to describe one of my classmates in ELI, named Emily ANON_NAME_0. The reason I choose her to be this topical because she is the nosiest student in ELI and has special physiology appearance. Let me give you a sample to help you know who Emily is. As you need a break before you are going to next class; suddenly you will hear a clearly and rasping voice from the end of the hill to calling your name. Don't confuse. That must be Emily. Her baby is well-rounded, her eyes is always smiling also she has full-lipped. Because of her special, she becomes the one of my best friend in ELI.","Today, I am going to describe one of my classmates in ELI, named Emily ANON_NAME_0. The reason I choose her to be this topical because she is the nosiest student in ELI and has special physiology appearance. Let me give you a sample to help you know who Emily is. As you need a break before you are going to next class; suddenly you will hear a clearly and rasping voice from the end of the hill to calling your name. Don't confuse. That must be Emily. Her baby is well-rounded, her eyes is always smiling also she has full-lipped. Because of her special, she becomes the one of my best friend in ELI.","Today, I am going to describe one of my classmates in ELI, named Emily ANON_NAME_0. The reason I choose her to be this topical because she is the nosiest student in ELI and has special physiology appearance. Let me give you a sample to help you know who Emily is. As you need a break before you are going to next class; suddenly you will hear a clearly and rasping voice from the end of the hill to calling your name. Don't confuse. That must be Emily. Her baby is well-rounded, her eyes is always smiling also she has full-lipped. Because of her special, she becomes the one of my best friend in ELI.",1,
Y,C13,143,az8,Chinese,Female,118,5,w,17,1,96,95,95,My niece is 3 years old who is my younger brother's daughter. She has more hairs since she born. Her face is very small. Her eyes always look smiling even though she fell uncomfortable or sad. Her eyebrows are as arched. She always looks smirk and vivacity on her facial expressions. She has a thin-lipped mouth. Then when the voice come out from her mouth just like melodious for me when she talk when me or sing a song. Moreover she was thin and little but she a very beautiful and cute kid for me.,My niece is 3 years old who is my younger brother's daughter. She has more hairs since she born. Her face is very small. Her eyes always look smiling even though she fell uncomfortable or sad. Her eyebrows are as arched. She always looks smirk and vivacity on her facial expressions. She has a thin-lipped mouth. Then when the voice come out from her mouth just like melodious for me when she talk when me or sing a song. Moreover she was thin and little but she a very beautiful and cute kid for me.,My niece is 3 years old who is my younger brother's daughter. She has more hairs since she born. Her face is very small. Her eyes always look smiling even though she fell uncomfortable or sad. Her eyebrows are as arched. She always looks smirk and vivacity on her facial expressions. She has a thin-lipped mouth. Then when the voice come out from her mouth just like melodious for me when she talk when me or sing a song. Moreover she was thin and little but she a very beautiful and cute kid for me.,1,
Y,K9,133,az2,Korean,Male,118,5,w,17,1,130,128,128,"When I was in Germany, I met a friend who was from America. His name was Devon. He was very funny guy. when I met him first, his voice was very deep. He had brown hair color, and brave and blue eyes. Also he was very tall and looked very strong. In addition, he looked pained because he had a big bruiseon his left eye. So I scared.
 However, after we knew well each other, his voice changed melodious and his eyes changed smiling. he always smiled and he always wanted to know about my country. I realized I was wrong when I met him first. so now I'm very happy to know him and after this semester, I'm going to Oragon to meet him, my friend Bulldog!!","When I was in Germany, I met a friend who was from America. His name was Devon. He was very funny guy. when I met him first, his voice was very deep. He had brown hair color, and brave and blue eyes. Also he was very tall and looked very strong. In addition, he looked pained because he had a big bruiseon his left eye. So I scared. However, after we knew well each other, his voice changed melodious and his eyes changed smiling. he always smiled and he always wanted to know about my country. I realized I was wrong when I met him first. so now I'm very happy to know him and after this semester, I'm going to Oragon to meet him, my friend Bulldog!!","When I was in Germany, I met a friend who was from America. His name was Devon. He was very funny guy. when I met him first, his voice was very deep. He had brown hair color, and brave and blue eyes. Also he was very tall and looked very strong. In addition, he looked pained because he had a big bruiseon his left eye. So I scared. However, after we knew well each other, his voice changed melodious and his eyes changed smiling. he always smiled and he always wanted to know about my country. I realized I was wrong when I met him first. so now I'm very happy to know him and after this semester, I'm going to Oragon to meet him, my friend Bulldog!!",1,
Y,K11,135,at8,Korean,Female,118,5,w,17,3,104,105,105,"my friend is ANON_NAME_0. she is a my ELI friend. she is a very kind and a nice girl. she is 24 years old. But, I guess she looks like 20. 
she is about 5 feets. And she is very skiny. 
she has a black hair. Her hair is a straight style. Her eyes is a smiling and eyebrows is arched. Her facial shapes is a flat and her mouse is thin lipped. Her voice is melodious. she always looks peaceful. But, today, she is little bit tired. because, yesterday, her fried had a birthday party. she likes to wear a jean and a T-shirt.","my friend is ANON_NAME_0. she is a my ELI friend. she is a very kind and a nice girl. she is 24 years old. But, I guess she looks like 20. she is about 5 feets. And she is very skiny. she has a black hair. Her hair is a straight style. Her eyes is a smiling and eyebrows is arched. Her facial shapes is a flat and her mouse is thin lipped. Her voice is melodious. she always looks peaceful. But, today, she is little bit tired. because, yesterday, her fried had a birthday party. she likes to wear a jean and a T-shirt.","my friend is ANON_NAME_0. she is a my ELI friend. she is a very kind and a nice girl. she is 24 years old. But, I guess she looks like 20. she is about 5 feets. And she is very skiny. she has a black hair. Her hair is a straight style. Her eyes is a smiling and eyebrows is arched. Her facial shapes is a flat and her mouse is thin lipped. Her voice is melodious. she always looks peaceful. But, today, she is little bit tired. because, yesterday, her fried had a birthday party. she likes to wear a jean and a T-shirt.",1,
Y,K20,188,eh9,Korean,Male,118,5,w,17,1,98,97,97,"Younghun is my best friend. His facial appearance is very sharp. He usually remains his hair short like a soldier. His facial shape is oval. He has dark black eyebrows over his black eyes, which are small and thin eyelashes. Sometime when he looks angry, I'm scared to talk to him. He has a small mouth, with lips which are always pink. When he smiles, white the upper brighten up his whole face. His nose is straight, but not high. Even though his first impression looks sharp a little bit, you should recognize him to be placid.","Younghun is my best friend. His facial appearance is very sharp. He usually remains his hair short like a soldier. His facial shape is oval. He has dark black eyebrows over his black eyes, which are small and thin eyelashes. Sometime when he looks angry, I'm scared to talk to him. He has a small mouth, with lips which are always pink. When he smiles, white the upper brighten up his whole face. His nose is straight, but not high. Even though his first impression looks sharp a little bit, you should recognize him to be placid.","Younghun is my best friend. His facial appearance is very sharp. He usually remains his hair short like a soldier. His facial shape is oval. He has dark black eyebrows over his black eyes, which are small and thin eyelashes. Sometime when he looks angry, I'm scared to talk to him. He has a small mouth, with lips which are always pink. When he smiles, white the upper brighten up his whole face. His nose is straight, but not high. Even though his first impression looks sharp a little bit, you should recognize him to be placid.",1,
Y,S1,136,ea7,Spanish,Female,118,5,w,17,1,99,95,99,"My mother is the most beautiful person that I know. 
First of all her facial expression is delicate and peaceful and she always is smiling.Her facial shape is oval and she has a big beautiful brown eyes and her mouth has full lipped.In adition, her voice is melodious and she talk slowly and she usually give good advice to other people like my father, me or my sister.I think that she always looks great because she is beautiful and she,also; has a really good feelings about the life and she likes help to other people.","My mother is the most beautiful person that I know. First of all her facial expression is delicate and peaceful and she always is smiling.Her facial shape is oval and she has a big beautiful brown eyes and her mouth has full lipped.In adition, her voice is melodious and she talk slowly and she usually give good advice to other people like my father, me or my sister.I think that she always looks great because she is beautiful and she,also; has a really good feelings about the life and she likes help to other people.","My mother is the most beautiful person that I know. First of all her facial expression is delicate and peaceful and she always is smiling. Her facial shape is oval and she has a big beautiful brown eyes and her mouth has full lipped. In adition, her voice is melodious and she talk slowly and she usually give good advice to other people like my father, me or my sister. I think that she always looks great because she is beautiful and she, also; has a really good feelings about the life and she likes help to other people.",1,
Y,C21,181,az8,Chinese,Female,154,5,g,21,1,187,132,132,"The Stonehenge located on the Plain of Salisbury in southern England is famous. According to archaeological data, the Stonehenge was built in Neolithic times, about 3000 B.C. There are many point of views come up with different version of the Stonehenge. There are many different points of views on the Stonehenge. For example, it might have been used for religious ceremonies; it may have employed the Holy Land to bury hero or noble; or it could have been a calculating machine of an astronomical yearbook. However, I think according to its architecture, it must have been accurately calculated before its construction. And then the people who designed or built it had to have highest wisdom. So the Stonehenge can still exist on the Plain of Salisbury in southern England year after year. 


","The Stonehenge located on the Plain of Salisbury in southern England is famous. According to archaeological data, the Stonehenge was built in Neolithic times, about 3000 B.C. There are many point of views come up with different version of the Stonehenge. There are many different points of views on the Stonehenge. For example, it might have been used for religious ceremonies; it may have employed the Holy Land to bury hero or noble; or it could have been a calculating machine of an astronomical yearbook. However, I think according to its architecture, it must have been accurately calculated before its construction. And then the people who designed or built it had to have highest wisdom. So the Stonehenge can still exist on the Plain of Salisbury in southern England year after year. ","The Stonehenge located on the Plain of Salisbury in southern England is famous. According to archaeological data, the Stonehenge was built in Neolithic times, about 3000 B.C. There are many point of views come up with different version of the Stonehenge. There are many different points of views on the Stonehenge. For example, it might have been used for religious ceremonies; it may have employed the Holy Land to bury hero or noble; or it could have been a calculating machine of an astronomical yearbook. However, I think according to its architecture, it must have been accurately calculated before its construction. And then the people who designed or built it had to have highest wisdom. So the Stonehenge can still exist on the Plain of Salisbury in southern England year after year. ",1,
Y,K17,172,az2,Korean,Male,154,5,g,21,2,99,97,98,"There are many stone on the grass. When I was freshman, I heard about stonehenge from my friend who lived in the U.K. I thought it would be great experience if I saw the stonehenge. It might be very famous in the world. People who lived in this area might have believed solar god. So they might have had religious ritual on this area. It might have built in BC 1800~BC 1400 because stone's colors are very different.Also it must have been registerd world heritage by Unesco. Many people might have made efforts to keep this heritage.","There are many stone on the grass. When I was freshman, I heard about stonehenge from my friend who lived in the U.K. I thought it would be great experience if I saw the stonehenge. It might be very famous in the world. People who lived in this area might have believed solar god. So they might have had religious ritual on this area. It might have built in BC 1800~BC 1400 because stone's colors are very different.Also it must have been registerd world heritage by Unesco. Many people might have made efforts to keep this heritage.","There are many stone on the grass. When I was freshman, I heard about stonehenge from my friend who lived in the U.K. I thought it would be great experience if I saw the stonehenge. It might be very famous in the world. People who lived in this area might have believed solar god. So they might have had religious ritual on this area. It might have built in BC 1800~BC 1400 because stone's colors are very different. Also it must have been registerd world heritage by Unesco. Many people might have made efforts to keep this heritage.",1,
Y,K19,187,eh9,Korean,Male,154,5,g,21,2,75,75,75,"It might have been built by an alien.
The king of tribe must have had pretty strong power at that time.
It may have taken hundreds of year to build Stonehenge.
At that time, the technological level could have been higher than the present.
Stonehenge might have been a tremendous castle.
It may have been used for sacrificial rites.
The alien might have governed the people.
Stonehenge must have been built thousands of years ago.","It might have been built by an alien. The king of tribe must have had pretty strong power at that time. It may have taken hundreds of year to build Stonehenge. At that time, the technological level could have been higher than the present. Stonehenge might have been a tremendous castle. It may have been used for sacrificial rites. The alien might have governed the people. Stonehenge must have been built thousands of years ago.","It might have been built by an alien. The king of tribe must have had pretty strong power at that time. It may have taken hundreds of year to build Stonehenge. At that time, the technological level could have been higher than the present. Stonehenge might have been a tremendous castle. It may have been used for sacrificial rites. The alien might have governed the people. Stonehenge must have been built thousands of years ago.",1,
Y,S2,185,ea7,Spanish,Female,154,5,g,21,1,66,65,66,"About several years ago, Stonehenge could have built for prehistoric people, at that time they may have used strong and big stones. these place could have used many times for religious ceremonies or it could have been a turistic place.Stonehenge might have been an important place to meet people at that time to celebrate some rituals, and finally Stonhenge may have had important treasures there.","About several years ago, Stonehenge could have built for prehistoric people, at that time they may have used strong and big stones. these place could have used many times for religious ceremonies or it could have been a turistic place.Stonehenge might have been an important place to meet people at that time to celebrate some rituals, and finally Stonhenge may have had important treasures there.","About several years ago, Stonehenge could have built for prehistoric people, at that time they may have used strong and big stones. these place could have used many times for religious ceremonies or it could have been a turistic place. Stonehenge might have been an important place to meet people at that time to celebrate some rituals, and finally Stonhenge may have had important treasures there.",1,
