3Langs,Item,answer_id,anon_id,L1,gender,course_id,level_id,class_id,question_id,version,text1_len,text2_len,text3_len,text1,"text2 (line breaks/extra spaces removed, spaces added to reach 60)",text3 (edits made to fix word counts),Judgement,Notes
Y,C79,985,az8,Chinese,Female,154,5,g,95,1,183,179,179,"
My major was in the food science and nutrition in junior college. If I hadn't continued my studying, I would have taken a test for dietician certificate. If I had passed the test, I could have had the dietician license. If I had become a dietician, I would have worked in a hospital. If I had worked in the hospital, I could have given people advice about the kind of food they should eat.
 In the other hand, if I hadn't changed my major to the information science and learning technology, I would have continued to study in the food science and nutrition. If I had continued to study in the food science and nutrition, I could have done more research in the food and nutrition. If I had done more research in the food and nutrition, I could have developed more healthy food. If I had developed more healthy food, I could have been an expert in the food and nutrition. If I had become an expert in this filed, I would have gained a lot of money.","My major was in the food science and nutrition in junior college. If I hadn't continued my studying, I would have taken a test for dietician certificate. If I had passed the test, I could have had the dietician license. If I had become a dietician, I would have worked in a hospital. If I had worked in the hospital, I could have given people advice about the kind of food they should eat. In the other hand, if I hadn't changed my major to the information science and learning technology, I would have continued to study in the food science and nutrition. If I had continued to study in the food science and nutrition, I could have done more research in the food and nutrition. If I had done more research in the food and nutrition, I could have developed more healthy food. If I had developed more healthy food, I could have been an expert in the food and nutrition. If I had become an expert in this filed, I would have gained a lot of money.","My major was in the food science and nutrition in junior college. If I hadn't continued my studying, I would have taken a test for dietician certificate. If I had passed the test, I could have had the dietician license. If I had become a dietician, I would have worked in a hospital. If I had worked in the hospital, I could have given people advice about the kind of food they should eat. In the other hand, if I hadn't changed my major to the information science and learning technology, I would have continued to study in the food science and nutrition. If I had continued to study in the food science and nutrition, I could have done more research in the food and nutrition. If I had done more research in the food and nutrition, I could have developed more healthy food. If I had developed more healthy food, I could have been an expert in the food and nutrition. If I had become an expert in this filed, I would have gained a lot of money.",3,
Y,K98,958,az2,Korean,Male,154,5,g,95,1,105,104,104,"When I was elementary school student, I liked sports and music. I could have played baseball or I could have played piano because my coach also wanted me to play baseball and my piano teacher wanted me to play piano too. Actually, I really wanted to play baseball. In Korea, we have to choose playing sports or studying before middle school. If I had decided to play baseball, I might have become a pro ball player. If I had decided to play piano, I might have become a pianist. However, my parents didn't want me to play baseball and I gave up playing baseball.","When I was elementary school student, I liked sports and music. I could have played baseball or I could have played piano because my coach also wanted me to play baseball and my piano teacher wanted me to play piano too. Actually, I really wanted to play baseball. In Korea, we have to choose playing sports or studying before middle school. If I had decided to play baseball, I might have become a pro ball player. If I had decided to play piano, I might have become a pianist. However, my parents didn't want me to play baseball and I gave up playing baseball.","When I was elementary school student, I liked sports and music. I could have played baseball or I could have played piano because my coach also wanted me to play baseball and my piano teacher wanted me to play piano too. Actually, I really wanted to play baseball. In Korea, we have to choose playing sports or studying before middle school. If I had decided to play baseball, I might have become a pro ball player. If I had decided to play piano, I might have become a pianist. However, my parents didn't want me to play baseball and I gave up playing baseball.",3,
Y,S6,999,ea7,Spanish,Female,154,5,g,95,1,152,149,151,"About one year ago, I made a big decision. I got married and I came to the United States because my husband was working here. In my country I used to have three jobs and my salary was really good but here I can not work and i can not save money, if I hadn't quit my jobs in Venezuela, I would have saved money and my financial situation could be better also if I were in Venezuela, I would be a rich person.Another thing is that I want to have a baby soon but I live here and I do not have any relatives to help me with the baby and for this reason I can not have baby for this moment.If I go back to my country in December, I will have a beby soon and it is the most important thing for me in this moment.","About one year ago, I made a big decision. I got married and I came to the United States because my husband was working here. In my country I used to have three jobs and my salary was really good but here I can not work and i can not save money, if I hadn't quit my jobs in Venezuela, I would have saved money and my financial situation could be better also if I were in Venezuela, I would be a rich person.Another thing is that I want to have a baby soon but I live here and I do not have any relatives to help me with the baby and for this reason I can not have baby for this moment.If I go back to my country in December, I will have a beby soon and it is the most important thing for me in this moment.","About one year ago, I made a big decision. I got married and I came to the United States because my husband was working here. In my country I used to have three jobs and my salary was really good but here I can not work and i can not save money, if I hadn't quit my jobs in Venezuela, I would have saved money and my financial situation could be better also if I were in Venezuela, I would be a rich person. Another thing is that I want to have a baby soon but I live here and I do not have any relatives to help me with the baby and for this reason I can not have baby for this moment. If I go back to my country in December, I will have a beby soon and it is the most important thing for me in this moment.",3,
Y,C104,1200,cd6,Chinese,Female,150,4,g,112,1,312,311,312,"Last semester, which was my first semester of studying English in the U.S, I joined in a ELI trip which had 3 days and 2 nights vocation in Philadelphia. There were 7 people: Peter, who was my reading teacher and the ELI activity advisor also; Mohamand and Saowu who are Saudi Arabians; Jay,Emily who come from Taiwan; and me.
The first day we started the trip at 8:00 AM on July first. All of us were excited and expected the trip. We had ridden for 6 hours before we arrived the hotel. After we checked in, we went to ""Dinner"" and had our early dinner. In the ""Dinner"", Peter taught us the names of different dressings that we hadn't known. He asked the waitress to give us four kinds of dressings and got us to remember. It was so funny, wasn't it? After finishing our dinner, we walked to the port which had fireworks show at that night. while we were waiting for the fireworks, we bought popsicles which had different shape. Mine was a Snoopy's head. Then we saw and enjoyed the show. Second day we visited the Liberty Bell, which is a famous symbol in the history of the U.S; we rode a horse cab; also we took the subway, which I had never tried in the U.s. At night, we had dinner at an Afghanistan restaurant which had exactly special food. After going back to the hotel, we had a small party which with beer and snacks. (Hsinni brought a big backpack which was full of snacks!) Third day, which was the last day of the trip, we had our free time thus we decided to take action seperately. Emily and I visited Independence Hall, which is the prominent building in Philly. At 1:00 PM, we left for Pittsburgh and finished the trip, which was novelty and funny!","Last semester, which was my first semester of studying English in the U.S, I joined in a ELI trip which had 3 days and 2 nights vocation in Philadelphia. There were 7 people: Peter, who was my reading teacher and the ELI activity advisor also; Mohamand and Saowu who are Saudi Arabians; Jay,Emily who come from Taiwan; and me. The first day we started the trip at 8:00 AM on July first. All of us were excited and expected the trip. We had ridden for 6 hours before we arrived the hotel. After we checked in, we went to ""Dinner"" and had our early dinner. In the ""Dinner"", Peter taught us the names of different dressings that we hadn't known. He asked the waitress to give us four kinds of dressings and got us to remember. It was so funny, wasn't it? After finishing our dinner, we walked to the port which had fireworks show at that night. while we were waiting for the fireworks, we bought popsicles which had different shape. Mine was a Snoopy's head. Then we saw and enjoyed the show. Second day we visited the Liberty Bell, which is a famous symbol in the history of the U.S; we rode a horse cab; also we took the subway, which I had never tried in the U.s. At night, we had dinner at an Afghanistan restaurant which had exactly special food. After going back to the hotel, we had a small party which with beer and snacks. (Hsinni brought a big backpack which was full of snacks!) Third day, which was the last day of the trip, we had our free time thus we decided to take action seperately. Emily and I visited Independence Hall, which is the prominent building in Philly. At 1:00 PM, we left for Pittsburgh and finished the trip, which was novelty and funny!","Last semester, which was my first semester of studying English in the U.S, I joined in a ELI trip which had 3 days and 2 nights vocation in Philadelphia. There were 7 people: Peter, who was my reading teacher and the ELI activity advisor also; Mohamand and Saowu who are Saudi Arabians; Jay, Emily who come from Taiwan; and me. The first day we started the trip at 8:00 AM on July first. All of us were excited and expected the trip. We had ridden for 6 hours before we arrived the hotel. After we checked in, we went to ""Dinner"" and had our early dinner. In the ""Dinner"", Peter taught us the names of different dressings that we hadn't known. He asked the waitress to give us four kinds of dressings and got us to remember. It was so funny, wasn't it? After finishing our dinner, we walked to the port which had fireworks show at that night. while we were waiting for the fireworks, we bought popsicles which had different shape. Mine was a Snoopy's head. Then we saw and enjoyed the show. Second day we visited the Liberty Bell, which is a famous symbol in the history of the U.S; we rode a horse cab; also we took the subway, which I had never tried in the U.s. At night, we had dinner at an Afghanistan restaurant which had exactly special food. After going back to the hotel, we had a small party which with beer and snacks. (Hsinni brought a big backpack which was full of snacks!) Third day, which was the last day of the trip, we had our free time thus we decided to take action seperately. Emily and I visited Independence Hall, which is the prominent building in Philly. At 1:00 PM, we left for Pittsburgh and finished the trip, which was novelty and funny!",3,
Y,K120,1186,eu6,Korean,Male,150,4,g,112,2,125,125,125,"It was a thing at funeral. My uncle, who made much of me, died in March in 1999. I was so sad he is te one of the person who I can unbosom myself to. The funeral was performed in a Buddhist's temple where he often used to go during his life time. Very many people are gathered in the temple, even a relation who lives in USA. But most interesting people was another person, who was surprising me. My Ex ! 
My ex-girlfriend, who broke up with me 2years ago, was in there and I saw that she was wearing earnings which I bought for her. When we saw each other, we looked up in surprise. And then she started walking to my way.","It was a thing at funeral. My uncle, who made much of me, died in March in 1999. I was so sad he is te one of the person who I can unbosom myself to. The funeral was performed in a Buddhist's temple where he often used to go during his life time. Very many people are gathered in the temple, even a relation who lives in USA. But most interesting people was another person, who was surprising me. My Ex ! My ex-girlfriend, who broke up with me 2years ago, was in there and I saw that she was wearing earnings which I bought for her. When we saw each other, we looked up in surprise. And then she started walking to my way.","It was a thing at funeral. My uncle, who made much of me, died in March in 1999. I was so sad he is te one of the person who I can unbosom myself to. The funeral was performed in a Buddhist's temple where he often used to go during his life time. Very many people are gathered in the temple, even a relation who lives in USA. But most interesting people was another person, who was surprising me. My Ex! My ex-girlfriend, who broke up with me 2 years ago, was in there and I saw that she was wearing earnings which I bought for her. When we saw each other, we looked up in surprise. And then she started walking to my way.",3,
Y,S11,1173,gq4,Spanish,Female,150,4,g,112,2,128,127,127,"The best fun time that I had in the past was the last year when with my friends, who studied with me in the University, traveled to San Andres Island, an Island where you can have nice vacations. I remember that we were very happy. During the mornings we went to the beach, which was very beautiful and in the nights we went to the Night Club where we danced all the night. In addition, we bought much stuff because in San Andres Island, that is a free port, the commerce is very cheap. Finally, after five wonderful days, we returned to Bogotá. I'll never forget this trip, which was the funniest trip in my life, in a spectacular place, with my best friends of the University.","The best fun time that I had in the past was the last year when with my friends, who studied with me in the University, traveled to San Andres Island, an Island where you can have nice vacations. I remember that we were very happy. During the mornings we went to the beach, which was very beautiful and in the nights we went to the Night Club where we danced all the night. In addition, we bought much stuff because in San Andres Island, that is a free port, the commerce is very cheap. Finally, after five wonderful days, we returned to Bogotá. I'll never forget this trip, which was the funniest trip in my life, in a spectacular place, with my best friends of the University.","The best fun time that I had in the past was the last year when with my friends, who studied with me in the University, traveled to San Andres Island, an Island where you can have nice vacations. I remember that we were very happy. During the mornings we went to the beach, which was very beautiful and in the nights we went to the Night Club where we danced all the night. In addition, we bought much stuff because in San Andres Island, that is a free port, the commerce is very cheap. Finally, after five wonderful days, we returned to Bogotá. I'll never forget this trip, which was the funniest trip in my life, in a spectacular place, with my best friends of the University.",3,
Y,K124,1227,az2,Korean,Male,118,5,w,114,1,133,128,128,"There are many factors deciding a nation's wealth such as natural resources, money and human resources. However, even though a nation has many natural resources, if the nation can't use natural resources effectively, it won't be helpful for the nation's wealth. Therefore, a nation's wealth is measured by human resources such as talent, knowledge and skill. How do people get these? Education. Education is the most important thing in order to have good human resources for the nation. For example, oriental countries, Japan, Korea, Taiwan, don't have enough natural resources. But there are many people who are educated well and many people think they are wealthy country in the world. So there is saying in oriental countries, ""Education is a big plan for 100 years."" (funnel, relevant quotation)","There are many factors deciding a nation's wealth such as natural resources, money and human resources. However, even though a nation has many natural resources, if the nation can't use natural resources effectively, it won't be helpful for the nation's wealth. Therefore, a nation's wealth is measured by human resources such as talent, knowledge and skill. How do people get these? Education. Education is the most important thing in order to have good human resources for the nation. For example, oriental countries, Japan, Korea, Taiwan, don't have enough natural resources. But there are many people who are educated well and many people think they are wealthy country in the world. So there is saying in oriental countries, ""Education is a big plan for 100 years."" (funnel, relevant quotation)","There are many factors deciding a nation's wealth such as natural resources, money and human resources. However, even though a nation has many natural resources, if the nation can't use natural resources effectively, it won't be helpful for the nation's wealth. Therefore, a nation's wealth is measured by human resources such as talent, knowledge and skill. How do people get these? Education. Education is the most important thing in order to have good human resources for the nation. For example, oriental countries, Japan, Korea, Taiwan, don't have enough natural resources. But there are many people who are educated well and many people think they are wealthy country in the world. So there is saying in oriental countries, ""Education is a big plan for 100 years."" (funnel, relevant quotation)",3,2 topics
Y,C111,1245,az8,Chinese,Female,118,5,w,114,1,157,156,156,"Someone may argue that natural resources play a significant role in the economy of a country. As far as we know, the natural resources included agricultures (vegetable, fruit or timber), minerals (stones, jewels or jades), national gas, navigable rivers, seaports and airports and so forth that make many counties be rich like Saudi Arabia and South Africa. However, I believe that education is more important to a nation's wealth than natural resources, because the country consists of people. The development of human civilization originates in education that improves human resources. For example, some countries, like Japan and Singapore, are poor in natural resources but they are still rich from their human resources. In addition, the Chinese idiom says ""to cultivate trees, it takes ten years; to educate people, it takes hundreds of years."" So to educate the people, government should establish a systematic education policy, not only concentrate on the current advantages. (Turnabout and Relevant quotation)","Someone may argue that natural resources play a significant role in the economy of a country. As far as we know, the natural resources included agricultures (vegetable, fruit or timber), minerals (stones, jewels or jades), national gas, navigable rivers, seaports and airports and so forth that make many counties be rich like Saudi Arabia and South Africa. However, I believe that education is more important to a nation's wealth than natural resources, because the country consists of people. The development of human civilization originates in education that improves human resources. For example, some countries, like Japan and Singapore, are poor in natural resources but they are still rich from their human resources. In addition, the Chinese idiom says ""to cultivate trees, it takes ten years; to educate people, it takes hundreds of years."" So to educate the people, government should establish a systematic education policy, not only concentrate on the current advantages. (Turnabout and Relevant quotation)","Someone may argue that natural resources play a significant role in the economy of a country. As far as we know, the natural resources included agricultures (vegetable, fruit or timber), minerals (stones, jewels or jades), national gas, navigable rivers, seaports and airports and so forth that make many counties be rich like Saudi Arabia and South Africa. However, I believe that education is more important to a nation's wealth than natural resources, because the country consists of people. The development of human civilization originates in education that improves human resources. For example, some countries, like Japan and Singapore, are poor in natural resources but they are still rich from their human resources. In addition, the Chinese idiom says ""to cultivate trees, it takes ten years; to educate people, it takes hundreds of years."" So to educate the people, government should establish a systematic education policy, not only concentrate on the current advantages. (Turnabout and Relevant quotation)",3,
Y,S13,1230,ea7,Spanish,Female,118,5,w,114,1,156,152,155,"In each country in the world, the most important thing should be education. Education is really important because people can do many things such as have a career, get a job and earn money.To illustrate,in many rich countries like the United States, Japan and England many people can go to school. Then they can go college and finally they can get an excellent job and they can be a succesful person in their life. For instance,in my country ( Venezuela), people are always worried about get a good education and for this reason people try to find a good school and college for their children to obtain an excellent education; when peopple finish their education, Venezuelan people want to work for our country because we wish that Venezuela were a rich country; we have a rich natural resource like petroleum. However,we think that without education any country could be a poor country.","In each country in the world, the most important thing should be education. Education is really important because people can do many things such as have a career, get a job and earn money.To illustrate,in many rich countries like the United States, Japan and England many people can go to school. Then they can go college and finally they can get an excellent job and they can be a succesful person in their life. For instance,in my country ( Venezuela), people are always worried about get a good education and for this reason people try to find a good school and college for their children to obtain an excellent education; when peopple finish their education, Venezuelan people want to work for our country because we wish that Venezuela were a rich country; we have a rich natural resource like petroleum. However,we think that without education any country could be a poor country.","In each country in the world, the most important thing should be education. Education is really important because people can do many things such as have a career, get a job and earn money. To illustrate, in many rich countries like the United States, Japan and England many people can go to school. Then they can go college and finally they can get an excellent job and they can be a succesful person in their life. For instance, in my country (Venezuela), people are always worried about get a good education and for this reason people try to find a good school and college for their children to obtain an excellent education; when peopple finish their education, Venezuelan people want to work for our country because we wish that Venezuela were a rich country; we have a rich natural resource like petroleum. However, we think that without education any country could be a poor country.",3,
Y,C174,1613,az8,Chinese,Female,154,5,g,152,1,227,214,214,"
 
The worse experience I have ever had with run out of money was four years ago when I first moved to Taipei. Taipei is one of big city in my country. After the first week working, I went shopping alone. It was a sunny day. First I went to a mall and bought many clothes and a lot of daily appliances. Then I went to a supermarket to buy some fruit, many cookies, and several condiments. After my shopping, I spent lots of money. So I felt I had to go home before I ran out of money. But at this moment I met a cosmetician, she promoted the sales of cosmetic. At that time, I wanted to say No, I don't need cosmetic instead of I don't know how to use them. But I didn't. So she was very enthusiastic telling me how to use all products. Finally I bought the product by paying a great of money, around $4,000 US, with my credit card. After I got home, I recognize all cosmetic cost me two and half month salary and I totally ran out of money. After this worse shopping experience, I cut my credit card. Now when I go shopping each time, I always remind myself don't ran out of money. 


","The worse experience I have ever had with run out of money was four years ago when I first moved to Taipei. Taipei is one of big city in my country. After the first week working, I went shopping alone. It was a sunny day. First I went to a mall and bought many clothes and a lot of daily appliances. Then I went to a supermarket to buy some fruit, many cookies, and several condiments. After my shopping, I spent lots of money. So I felt I had to go home before I ran out of money. But at this moment I met a cosmetician, she promoted the sales of cosmetic. At that time, I wanted to say No, I don't need cosmetic instead of I don't know how to use them. But I didn't. So she was very enthusiastic telling me how to use all products. Finally I bought the product by paying a great of money, around $4,000 US, with my credit card. After I got home, I recognize all cosmetic cost me two and half month salary and I totally ran out of money. After this worse shopping experience, I cut my credit card. Now when I go shopping each time, I always remind myself don't ran out of money.","The worse experience I have ever had with run out of money was four years ago when I first moved to Taipei. Taipei is one of big city in my country. After the first week working, I went shopping alone. It was a sunny day. First I went to a mall and bought many clothes and a lot of daily appliances. Then I went to a supermarket to buy some fruit, many cookies, and several condiments. After my shopping, I spent lots of money. So I felt I had to go home before I ran out of money. But at this moment I met a cosmetician, she promoted the sales of cosmetic. At that time, I wanted to say No, I don't need cosmetic instead of I don't know how to use them. But I didn't. So she was very enthusiastic telling me how to use all products. Finally I bought the product by paying a great of money, around $4,000 US, with my credit card. After I got home, I recognize all cosmetic cost me two and half month salary and I totally ran out of money. After this worse shopping experience, I cut my credit card. Now when I go shopping each time, I always remind myself don't ran out of money.",3,
