course_id,class_id,level_id,semester,section
1,r,2,2006_spring,A
2,r,3,2006_spring,B
3,r,4,2006_spring,M
4,r,4,2006_spring,P
5,r,4,2006_spring,Q
6,r,5,2006_spring,S
7,w,2,2006_spring,A
8,w,3,2006_spring,B
9,w,4,2006_spring,M
10,w,4,2006_spring,P
11,w,4,2006_spring,Q
12,w,5,2006_spring,S
13,s,2,2006_spring,A
14,s,3,2006_spring,B
15,s,4,2006_spring,M
16,s,4,2006_spring,P
17,s,4,2006_spring,Q
18,s,5,2006_spring,S
19,l,2,2006_spring,A
20,l,3,2006_spring,B
21,l,4,2006_spring,M
22,l,4,2006_spring,P
23,l,4,2006_spring,Q
24,l,5,2006_spring,S
25,g,2,2006_spring,A
26,g,3,2006_spring,B
27,g,4,2006_spring,M
28,g,4,2006_spring,P
29,g,4,2006_spring,Q
30,g,5,2006_spring,S
31,r,3,2006_spring,C
32,w,3,2006_spring,C
33,s,3,2006_spring,C
34,l,3,2006_spring,C
35,g,3,2006_spring,C
36,g,5,2006_spring,T
37,l,5,2006_spring,T
38,s,5,2006_spring,T
39,w,5,2006_spring,T
40,r,5,2006_spring,T
41,r,2,2006_summer,A
42,r,3,2006_summer,F
43,r,3,2006_summer,G
44,r,3,2006_summer,H
45,r,4,2006_summer,M
46,r,4,2006_summer,P
47,r,4,2006_summer,Q
48,r,4,2006_summer,R
49,r,5,2006_summer,S
50,r,5,2006_summer,T
51,r,5,2006_summer,U
52,w,2,2006_summer,A
53,w,3,2006_summer,F
54,w,3,2006_summer,G
55,w,3,2006_summer,H
56,w,4,2006_summer,M
57,w,4,2006_summer,P
58,w,4,2006_summer,Q
59,w,4,2006_summer,R
60,w,5,2006_summer,S
61,w,5,2006_summer,T
62,w,5,2006_summer,U
63,s,2,2006_summer,A
64,s,3,2006_summer,F
65,s,3,2006_summer,G
66,s,3,2006_summer,H
67,s,4,2006_summer,M
68,s,4,2006_summer,P
69,s,4,2006_summer,Q
70,s,4,2006_summer,R
71,s,5,2006_summer,S
