question_id,question_type_id,stem,allow_text
1,2,"Answer the question.  Write a complete sentence. 

How many people are in your family?",1
2,2,"Answer the question.  Write a complete sentence. 

What is your favorite food?",1
3,2,"Answer the question.  Write a complete sentence. 

What are you doing right now?",1
4,4,"Write an essay on ONE of the following topics.  You have 30 minutes to complete the essay.  Submit your essay in the ELI Online Homework Submission web page before you leave the classroom.

1. It has been said, ""Not all learning takes place in the classroom."" Compare and contrast knowledge gained from personal experience with knowledge gained from classroom instruction. In your opinion, which source is more important? Why?


2. Neighbors are the people who live near us. In your opinion, what are the qualities of a good neighbor? Use specific details and examples in your answer.


3. Some people prefer to eat at food stands or restaurants. Other people prefer to prepare and eat food at home. Which do you prefer? Use specific reasons and examples to support your answer.",1
5,1,Write a paragraph  about a relatioship that is important to you. How did you meet? What were you doing when you met? Describe some events in the relationship. Use the simple past and past progressive. Write 6-10 sentences.,1
6,1,"Must be typed, double-spaced. You will hand in your revised draft(s), your original draft(s) as well as your outline.",1
7,2,"Write a sentence with the word ""opinion"".",1
8,2,"Write a sentence with the word ""own"".",1
9,2,"Write a sentence with the word ""useful"".",1
10,1,"Write one humorous (funny) paragraph about how to fail a test.  Organize your paragraph by time, importance, or situation.  Use examples and experiences to support your ideas.  Use your imagination to create this paragraph.",1
11,1,What do you think is the most useful invention of all time?  Write 2 or 3 sentences to answer this question.  Use some of the new words you have learned in Unit 2.,1
12,1,"In five sentences or less, give instructions on how to make tea.",1
13,1,"How do you organize the instructions: by time, importance or situation?",1
14,1,,1
15,1,PLease provide instructions for your favorite recipe. Make sure you use imperatives when you are writing your instructions.,1
16,1,"Revise Final Writing: type, double spaced, submit final draft; hand in all drafts.",1
17,1,"Describe a person that you know well.  What does he or she look like?  Write one paragraph, between 7 and 12 sentences.  You can use some of the words on page 71 of ""Refining Composition Skills.""",1
18,1,"Write a paragraph about yourself for a personal website like the one on page 19.  Tell about your interests and hobbies.  Use the simple past, present perfect, and present perfect progressive.  Skip lines and write at least 8 sentences.",1
19,1,Follow the instruction for exercise 8 in unit 3 of your gammar books (p.27).,1
20,1,"Do U.3, Ex.8, p.27 in your G4 textbooks.",1
21,1,"Write about 1 of the following:  either...
Ex. 9 p. 101 (write 1 paragraph, at least 8 sentences)
OR  Ex. 7 p. 100. (write at least 3 sentences each on #2, 3 4)
Use different modals in your writing.
If you submit the asst. by 8:00 pm 9/24, I will return it to you on Monday in class.",1
22,1,"See page 27, exercise 8 in your books to do this assignment.",1
23,2,"""Why Do It?"" gives 5 reasons people study overseas.   Give 2 reasons why you came to Pittsburgh to study.",1
24,2,"""Getting Ready to Go"" gives advice.  What did you do to get ready before you came to Pittsburgh?",1
25,2,"""Once You are There"" also gives advice if you get homesick.  What is the advice?  Do you do any of these things?",1
26,4,Write an essay of at least 4 paragraphs that gives clear instructions on how to do one of the topics on p. 56 in your book.,1
27,1,"Follow the directions given to you. Notes may be written on the handout and handed in with your paragraph. You must complete and print your writing to hand in today, and submit it into the HW program.",1
28,1,"Do exercise 1 of the ""From Grammar to Writing"" section of Part I. It's on pages 43-44 of your textbook. Use simple or progresive, past or present, or perfect tenses (all the tenses we have learned). Copy the paragraph, putting the verbs into the correct tenses.",1
29,1,Choose three items from the list in Reading 5 that you think are the most important and explain why.,1
30,1,"Follow the directions in your textbook for the writing assignment in Unit 11 (Phrasal verbs)
Please smile while you write this- your grammar is better when you are happy. :)",1
31,1,Type the given paragraph into microsoft word.  Copy and paste your typed paragraph into the homework submission site and submit it.,1
32,1,"Write about your favorite restaurant.  Why do you like to go there?  What types of foods does the restaurant serve?  

Type this into the homework submission site and submit your paragraph.  You will have 10 minutes.",1
33,1,"Type the given paragraph into Word.  After you are finished, copy and paste your paragraph into the homework submission program.  Submit your paragraph through the homework submission website.",1
34,1,"Write about your favorite restaurant. Why do you like to go there? What types of foods does the restaurant serve?

Type this paragraph into the homework submission site and submit your paragraph. You will have 10 minutes.",1
35,1,Look at Exercise 5-7 on page 86 of Refining Composition Skills.  Write a paragraph (7-12 sentences) using the information you see there.  Be sure you have a good topic sentence and good support.,1
36,1,"Imagine that you are going to nominate a legal guardian for your children.  Who would you nominate and why?  

Write a paragraph to answer this question.  Write 5 to 7 sentences.",1
37,4,"For each of the following words, write the sentence in which the word is found in Reading 6, the part of speech, and the dictionary definition.

1.  mismanagement 









2.  demonstration









3.  organize









4.  disagreement









5.  religious









6.(Your own word)",1
38,2,How many classes are you taking in the ELI?,1
39,2,What is your writing teacher's name?,1
40,2,Where do you live in Pittsburgh?,1
41,2,Who do you live with?,1
42,2,What do you like to do on the weekends?,1
43,2,Choose 3 words from readings 1-4 or that we have learned in class and write one sentence for each.,1
44,2,Choose 3 words from readings 1-4 or that we have learned in class and write one sentence for each.,1
45,1,"Write a paragraph about you and your best friend using 10 phrasal verbs from our list.  You can talk about how you met, how you like to spend time together, or what you will do next time you meet.  Please underline the verbs and particles.",1
46,2,"vocabulary quiz on focus words  from Readings 3, 4",1
47,2,"Focus Words Unit 3 Reading 1
regarding         trend
speculate
emerge
prominent
cultivate
consistent",1
48,4,"Write a revised draft of your essay, making use of the corrections and comments provided by the instructor on the first draft.  Edit carefully before submitting the essay.  This draft will receive a letter grade.  [Hand in the first draft and its commments (feedback) sheet in class on Tuesday, October 3 or Thursday, October 5.]",1
49,1,Please submit the final version of your subcultures paragraph.,1
50,1,Please submit the final version of your subcultures paragraph.,1
51,2,Describe your apartment.  Write one sentence.  Use two adjectives in your sentence.,1
52,2,"Read the question.  Write a complete sentence.

What time do you go to bed at night?",1
53,2,"Read the question.  Write a complete sentence.

What is your favorite color?",1
54,2,"Read the question.  Write a complete sentence.

What is today's date?",1
55,2,Describe yourself.  Write one sentence.  Use two adjectives in your sentence.,1
56,1,"Write about how you feel in your home or classroom.   You can use Exercise 5 as a model, but use your own ideas.  Use phrasal verbs whenever possible.  Please write the PHRASAL VERBS in capital letters.",1
57,1,"Write a paragraph of 7-10 sentences using the topic in exercise 9 or exercise 10 in your books on page 168. Use as many phrasal verbs as you can, at least 6.",1
58,2,Who is Lily?  What country is she from?,1
59,2,Why is she writing a journal?,1
60,2,Was Lily happy or unhappy on Oct. 20?  Why?,1
61,2,Was Lily happy or unhapppy on Oct. 27?  Why?,1
62,1,"Re-write your first draft of the paragraph about Decasia, Illinois.  Make the changes suggested in red ink on your first draft.",1
63,2,"focus words for Unit 3 Reading 1
regarding
emerge       Write a definition and part of speech
prominent
cultivate
consistent
trend
speculate",1
64,2,"Write sentences to complete this exercise.

If you submit the HW online by 8:00 pm Wed., Oct. 4, I will return it to you in class on Thursday.",1
65,4,copy and paste the second draft of your essay here. be sure to not include your name in your essay.,1
66,2,Describe your best friend.  Write a complete sentence.  Use two adjectives in your sentence.,1
67,2,Answer the question with a complete sentence.  What did you do yesterday?,1
68,2,Answer the question with a complete sentence.  What are you doing right now?,1
69,2,Answer the question with a complete sentence.  What do you think people in  your country are doing right now?,1
70,2,Describe what you are wearing.   Write a complete sentence.  Use two adjectives in your sentence.,1
