anon_id,gender,birth_year,native_language,language_used_at_home,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,course_history,yrs_of_english_learning,yrs_in_english_environment,age
ez9,Male,1978,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,Turkish,less than 1 year,no,Studied by myself,,,no,,6;12;18;24;30,1-2 years,3-5 years,27
gm3,Male,1980,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;other,,,no,,,,no,,6;12;24;30;38,1-2 years,more than 5 years,25
fg5,Male,1938,Nepali,Nepali,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Hindi,more than 5 years,no,Studied by myself,18;24,more than 5 years,more than 5 years,66
ce5,Female,1984,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,German,1-2 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation,,,no,,6;12;24;30;38;56,more than 5 years,3-5 years,21
fi7,Female,1982,Korean,Korean;Japanese,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);other,Japanese,less than 1 year,yes,Studied grammar;Studied vocabulary;Listened to audio materials;Studied pronunciation,French,1-2 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials,6;12;24;30;38,less than 1 year,none,23
ds7,Female,1985,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);other,Japanese,less than 1 year,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),,,no,,6;12;18;24;30;56,more than 5 years,less than 1 year,20
fd5,Female,1977,Chinese,Chinese,Russian,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Russian;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,6;12;18;24;30,3-5 years,less than 1 year,28
do6,Female,1974,Russian,Russian,French,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,5;11;18;24;29;105;117;153,less than 1 year,more than 5 years,31
ex1,Female,1972,Turkish,Turkish,English,more than 5 years,no,Studied by myself,,,no,,,,no,,24;38,3-5 years,less than 1 year,34
ac0,Female,1969,Chinese,Chinese,French,1-2 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,6;12;15;24;30;71;82,more than 5 years,1-2 years,36
bd9,Male,1962,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud,,,no,,,,no,,9;18;24,more than 5 years,less than 1 year,43
ar3,Female,1960,French,French,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays,Spanish,less than 1 year,no,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in german;Studied pronunciation,German,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in german;other,24;30;38,more than 5 years,less than 1 year,45
cz5,Female,1980,Russian,Russian,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,6;12;16;24;30,more than 5 years,1-2 years,25
bv3,Male,1967,Other,Russian;Ukranian,English,3-5 years,no,Studied by myself;I lived in a country where they spoke English,Russian,more than 5 years,yes,,French,3-5 years,yes,other,9;15;27,3-5 years,3-5 years,39
gi3,Male,1982,Japanese,Japanese;Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher corrected my mistakes,Chinese,1-2 years,yes,Studied grammar;Studied vocabulary;Teacher corrected my mistakes,,,no,,3;9;15;21;27;49;60;71;82;93,more than 5 years,less than 1 year,23
gs1,Female,1981,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,3;9;15;21;27;49;61;72;82;94,3-5 years,less than 1 year,24
bv5,Male,1985,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,3;9;15;21;27;49;57;71;82;93;117,more than 5 years,none,21
cf4,Female,1987,Arabic,Arabic,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,3;9;15;21;27;49;61;72;82;94,3-5 years,none,18
dr6,Female,1987,Spanish,Spanish;French,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,1-2 years,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke French,,,no,,3;9;15;21;27,more than 5 years,less than 1 year,18
av3,Male,1981,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,,,no,,,,no,,3;9;15;21;27;49;61;72;82;94,more than 5 years,1-2 years,24
ev2,Female,1956,Turkish,Turkish,English,less than 1 year,yes,Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,10;15;21,less than 1 year,more than 5 years,49
ch3,Female,1975,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Wrote paragrphs/essays,,,no,,,,no,,15;21;58,more than 5 years,less than 1 year,31
fw0,Female,1970,Chinese,Chinese,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,3;15;22;29,3-5 years,none,36
dk2,Male,1964,Turkish,Turkish,English,3-5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,11;15;21;71;89,3-5 years,less than 1 year,40
cr2,Female,1981,Arabic,Arabic,English,3-5 years,no,Studied by myself;I learned from my friend who is a native speaker;other,,,no,,,,no,,5;11;17;23;29;49;61;72;82;94,3-5 years,none,25
ax4,Male,1978,Chinese,Chinese;Taiwanese,English,3-5 years,yes,Studied grammar;Studied vocabulary,,,no,,,,no,,5;11;17;23;29;94;105;117;129,3-5 years,less than 1 year,28
gp5,Female,1987,Chinese,Chinese;Taiwanese,English,1-2 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Practiced reading aloud;Wrote paragrphs/essays,,,no,,,,no,,5;11;17;23;29;71;82,more than 5 years,less than 1 year,18
cm6,Female,1983,Chinese,Chinese,English,1-2 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,5;11;17;23;29,more than 5 years,less than 1 year,22
dq6,Male,1978,Arabic,Arabic,English,more than 5 years,no,Studied by myself;other,,,no,,,,no,,5;11;18;22;29;49;60;82;93,more than 5 years,3-5 years,28
at5,Male,1981,Arabic,Arabic,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,5;8;17;23;29,more than 5 years,3-5 years,25
fz7,Female,1981,Arabic,Arabic,English,3-5 years,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English;other,,none,no,other,,,no,,5;11;17;23;29;106;118;130;154,3-5 years,less than 1 year,25
cm5,Male,1979,Arabic,Arabic,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays;other,,,no,,,,no,,5;11;17;23;29,less than 1 year,none,27
fc0,Male,1986,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,2;8;17;23;26;47;58;71;78;91;102;118;129;149,3-5 years,none,20
fg8,Female,1978,Chinese,Chinese;Taiwanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,4;10;16;22;28;49;93;117;129;338;349;350;351;352,more than 5 years,less than 1 year,28
fq4,Female,1980,Korean,Korean,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Practiced speaking in class;Studied pronunciation,,,no,,,,no,,3;9;16;21;27,3-5 years,1-2 years,25
ev8,Female,1982,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary,Japanese,1-2 years,yes,Studied grammar;Studied vocabulary,,,no,,3;9;16;21;27;49;82,more than 5 years,less than 1 year,23
fx9,Female,1968,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud,,,no,,,,no,,4;10;16;22;26;49;57;71;82;90;105;117;129;153;164;175;186;208,more than 5 years,less than 1 year,37
aj8,Male,1978,Chinese,Chinese;Taiwanese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud;Wrote paragrphs/essays,,,no,,,,no,,6;10;16;24;28;93;118;130,more than 5 years,less than 1 year,27
gg8,Female,1976,Japanese,Japanese;English,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,,,no,,,,no,,4;10;16;22;28;49;61;72;82;94,more than 5 years,1-2 years,29
ch6,Male,1982,Korean,Korean,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary,German,1-2 years,no,other,,,no,,4;11;16;22;28,3-5 years,none,23
fx5,Female,1979,Japanese,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud,French,1-2 years,yes,Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Teacher corrected my mistakes,,,no,,4;10;16;22;28,more than 5 years,less than 1 year,26
cy0,Male,1986,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,4;10;16;22;28;47;58;71;82;93,more than 5 years,none,19
eu4,Male,1987,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,4;11;16;22;28;49;61;72;82;94,more than 5 years,none,18
